price,sqft_living
3075000.0,4550
335000.0,2440
576000.0,1940
208633.0,2040
315000.0,2200
725000.0,1920
550000.0,1800
610750.0,2180
550700.0,1010
665000.0,3320
834000.0,2370
201000.0,1660
2384000.0,3650
1384000.0,4290
1400000.0,4290
305000.0,1950
487000.0,2590
390000.0,1930
548000.0,1470
819900.0,3150
520000.0,2030
230000.0,1450
240000.0,1510
232000.0,1240
240500.0,1240
274975.0,3030
740000.0,2050
186375.0,1000
790000.0,2370
880000.0,2800
279000.0,2240
295000.0,1810
640000.0,1070
940000.0,2490
260000.0,1960
559900.0,2930
791500.0,1510
265000.0,1420
245000.0,1740
485000.0,2560
684000.0,3040
425000.0,2500
309600.0,1275
552250.0,2580
165000.0,1000
239900.0,1000
320000.0,1070
206600.0,1390
387000.0,2500
855000.0,2270
315000.0,1900
252000.0,1550
375000.0,2200
300000.0,1910
420000.0,1750
900000.0,1330
679900.0,2440
463000.0,1640
380000.0,2760
329500.0,1820
604950.0,2110
795000.0,3040
465000.0,1840
673000.0,2990
810000.0,3520
785000.0,2440
338000.0,2090
280000.0,1430
315000.0,2180
530000.0,2180
380000.0,3450
297000.0,1450
730000.0,3230
450000.0,1640
275000.0,1590
595000.0,2020
435000.0,1300
270000.0,1380
950000.0,4040
389000.0,2130
560000.0,2550
1350000.0,4800
799000.0,2510
365500.0,1410
252350.0,1650
403950.0,2120
385000.0,2040
345000.0,1550
490000.0,1980
330000.0,1600
927000.0,3300
1118000.0,3840
330000.0,1220
530000.0,2720
365000.0,1940
378750.0,2160
269900.0,1530
557000.0,1710
360000.0,3730
352000.0,940
437000.0,1750
322500.0,1820
650000.0,1510
450000.0,1290
278500.0,1570
364950.0,1930
840000.0,2840
268000.0,1550
632925.0,2990
577500.0,2000
339000.0,2390
570000.0,2910
563500.0,2085
423000.0,2200
355000.0,1860
1550000.0,6070
625000.0,1600
538000.0,2250
380000.0,2280
245000.0,1530
310000.0,2190
1300000.0,2350
397000.0,1440
365000.0,2200
328500.0,2290
988000.0,4040
1000000.0,2610
237000.0,1490
525000.0,2450
749000.0,1710
722500.0,4870
843000.0,3130
438000.0,1270
578000.0,2120
227950.0,1670
196000.0,2070
641000.0,1420
350000.0,1250
400000.0,1920
1030000.0,3545
505000.0,1260
475000.0,2340
520000.0,2590
1450000.0,3970
333500.0,1220
232000.0,1400
691100.0,2360
811000.0,1870
551000.0,2830
496500.0,2260
705000.0,1970
578000.0,3140
255000.0,1240
1050000.0,3450
348000.0,2570
230000.0,1510
359500.0,2390
465000.0,1480
325000.0,1850
340500.0,2270
342500.0,1810
290900.0,1610
868700.0,3840
1199000.0,4110
1150000.0,4190
859900.0,3390
520000.0,1890
460000.0,1610
438924.0,1050
590000.0,2910
378500.0,1700
328500.0,1950
849950.0,2990
525000.0,1350
1385000.0,4860
295000.0,2160
1067000.0,4860
699900.0,2810
1280000.0,3400
452000.0,1580
370000.0,1680
232000.0,1300
669950.0,2820
397500.0,1510
490000.0,1230
725000.0,2110
299000.0,3080
625000.0,1490
437500.0,2120
650000.0,3180
475000.0,1490
342000.0,1930
1197350.0,2770
280000.0,1670
240000.0,1330
529000.0,1210
442000.0,1190
615000.0,1540
1485000.0,4030
585000.0,2430
480000.0,2600
1095000.0,4410
290000.0,1330
615000.0,1900
300000.0,1100
308000.0,1980
750000.0,2400
2250000.0,4760
890000.0,3180
288000.0,1190
515000.0,2530
235000.0,1690
727500.0,1240
650000.0,3040
1600000.0,6050
365000.0,1590
662000.0,2500
270500.0,1780
200000.0,1360
970000.0,4740
160000.0,1010
204000.0,1040
358000.0,1610
452000.0,1570
595000.0,1510
249000.0,1360
346900.0,1970
2125000.0,5403
280000.0,1560
318888.0,2320
530000.0,2120
375000.0,2120
910000.0,3350
782000.0,2380
259950.0,1070
315000.0,2300
215000.0,1320
705000.0,2180
1450000.0,4380
451000.0,1790
396000.0,1300
725000.0,2990
1950000.0,4640
238000.0,1400
750000.0,2750
331500.0,2050
460000.0,2230
404950.0,2340
880000.0,2870
863000.0,4120
638700.0,2080
435000.0,1840
260000.0,1180
671500.0,2160
610000.0,1180
405000.0,1160
338900.0,1830
720000.0,3200
442000.0,2560
650000.0,2550
263500.0,1330
300000.0,1220
266000.0,1805
930000.0,6050
530000.0,2320
180000.0,1384
619000.0,2720
264000.0,1820
730000.0,2130
439000.0,2060
268500.0,1420
330000.0,1510
640000.0,2160
900000.0,3180
370000.0,2110
685000.0,2060
505000.0,1830
265000.0,1820
290000.0,1610
296000.0,1780
360000.0,1840
240500.0,1460
372500.0,1400
595000.0,3370
515000.0,3590
1220000.0,3200
507000.0,1670
399950.0,2420
185000.0,1430
460000.0,1440
435500.0,1450
469000.0,3550
531000.0,1270
223000.0,1670
590000.0,3100
340000.0,1100
650000.0,1870
533600.0,1930
695000.0,2540
242000.0,1280
425000.0,1820
525000.0,1490
485000.0,1880
175000.0,1250
210000.0,1440
260000.0,1920
577000.0,2060
200000.0,1210
605000.0,1760
559950.0,1660
1042500.0,1900
543500.0,1270
480000.0,3250
565000.0,1330
426700.0,2080
650000.0,2690
415000.0,1070
214000.0,1200
245000.0,1360
314500.0,2050
1120000.0,3000
378000.0,1300
305000.0,2250
595000.0,3740
729500.0,1660
430000.0,2360
240000.0,1760
545000.0,1680
530000.0,1320
425000.0,1260
220000.0,1000
521000.0,2020
325000.0,1920
597500.0,2150
337000.0,1470
1000000.0,3180
3070000.0,3930
748000.0,2770
888000.0,1250
269900.0,1140
496500.0,2250
475000.0,1640
312000.0,1255
323000.0,1290
331000.0,1300
306000.0,1220
655000.0,2630
290000.0,1950
1250000.0,3160
460000.0,1550
435000.0,1700
664000.0,2510
865000.0,1800
385000.0,1800
497000.0,1870
280000.0,1010
188000.0,1120
478500.0,2090
1145000.0,4370
222000.0,1440
799000.0,2580
609900.0,3190
413000.0,2380
400000.0,1420
802541.0,2990
320000.0,2680
507000.0,2730
387500.0,1220
396000.0,1500
373000.0,1830
1484900.0,4570
359900.0,2470
690000.0,2900
245000.0,1410
700000.0,2830
268000.0,1680
225000.0,1760
980000.0,2240
795000.0,1380
195000.0,820
480000.0,2180
485000.0,1400
325000.0,1060
440000.0,1530
550000.0,2480
310000.0,1490
530000.0,3660
390000.0,2340
243000.0,1450
639000.0,2210
215000.0,1130
405000.0,1550
250000.0,1710
405500.0,1010
452000.0,2660
730000.0,2660
267000.0,1300
289950.0,1670
1578000.0,4670
636000.0,2140
350000.0,2520
320000.0,1650
210000.0,1440
245000.0,1050
328000.0,1470
985000.0,4230
501000.0,1970
315000.0,1540
403000.0,2090
550000.0,2380
347500.0,2156
365000.0,2070
588000.0,1910
605000.0,1920
1300000.0,3400
233000.0,1400
360000.0,2210
459000.0,1170
740000.0,2100
305000.0,1160
395000.0,1500
560000.0,2940
650000.0,2010
449950.0,2170
517500.0,1430
435000.0,1510
329999.0,1150
950000.0,2150
447000.0,1370
699800.0,2380
850000.0,1370
316500.0,1600
942500.0,3750
1310000.0,3950
856600.0,2400
405600.0,2830
565000.0,2440
400000.0,1190
330000.0,1400
374950.0,2730
405300.0,2390
560000.0,2060
824000.0,2490
260000.0,1100
760000.0,2430
405000.0,3170
429900.0,2640
341500.0,1130
465250.0,1940
450000.0,1100
390000.0,1200
420000.0,2000
269950.0,1890
493000.0,1910
370000.0,2710
2250000.0,4860
305000.0,1250
400000.0,1590
320000.0,1240
715000.0,2000
650000.0,3610
218000.0,1930
500000.0,1280
460000.0,2090
232500.0,1940
408200.0,1800
522000.0,1730
675000.0,2810
1355000.0,3550
249950.0,1330
429950.0,1760
737500.0,3200
710000.0,1740
470000.0,2100
1100000.0,4270
650000.0,1340
1216000.0,3190
422120.0,1630
625000.0,2990
385200.0,1550
500000.0,1690
308000.0,1960
565000.0,2390
581000.0,2600
361000.0,1950
345000.0,1250
419000.0,1180
347000.0,1680
625000.0,2220
2400000.0,4890
379000.0,2660
310000.0,1150
250000.0,1130
682000.0,2760
246500.0,1430
325000.0,1490
310950.0,2030
1100000.0,3010
287500.0,1810
431000.0,1810
825000.0,2010
175000.0,1300
465750.0,1260
659000.0,2610
595000.0,1910
350000.0,1780
270000.0,1900
662500.0,2450
249900.0,1380
324500.0,1920
430000.0,1350
419950.0,1350
285000.0,2510
332000.0,2470
282000.0,1660
320000.0,1340
428750.0,1620
330000.0,2300
456500.0,2000
352000.0,1640
664000.0,1530
628000.0,4000
512000.0,1610
254000.0,2070
535800.0,1900
287653.0,1050
438000.0,1520
450000.0,2390
327000.0,2400
370500.0,1790
265000.0,1720
450000.0,2980
425000.0,1520
166600.0,1150
539900.0,1650
910000.0,2480
280000.0,2050
275000.0,1420
467000.0,3460
457500.0,1500
381156.0,1320
289999.0,2180
642450.0,1830
469950.0,1620
795000.0,2920
785000.0,3300
860000.0,3060
1095000.0,3064
147500.0,1530
390000.0,1910
229000.0,1020
185000.0,1150
414900.0,1260
200000.0,1920
225000.0,1800
720000.0,2040
930000.0,2200
1270000.0,3200
700000.0,2400
466000.0,1140
374000.0,1330
480000.0,1940
740000.0,3000
1010000.0,1820
395000.0,2910
340000.0,1090
209000.0,1230
431650.0,1710
980000.0,3160
660000.0,2680
730000.0,2190
291500.0,1260
905000.0,2970
800000.0,2570
839900.0,3810
200000.0,1010
300000.0,1480
530000.0,1250
314950.0,1654
255000.0,1410
550000.0,2160
435000.0,1400
234000.0,1420
615000.0,2500
205000.0,1410
384000.0,2100
324000.0,1750
645000.0,2070
570000.0,1570
324000.0,1920
270000.0,1000
290000.0,2120
250000.0,1440
342000.0,1660
255000.0,1340
800000.0,2380
451000.0,1560
990000.0,2780
288400.0,1860
420000.0,2390
359000.0,1370
390000.0,2570
300000.0,1320
545000.0,2520
288349.0,1250
299900.0,1560
891000.0,2330
1200000.0,3660
378000.0,2790
299995.0,1060
253000.0,2020
350000.0,1580
565000.0,2020
570000.0,1490
971000.0,4390
915000.0,2750
419000.0,2150
260000.0,1810
1321500.0,2230
369950.0,2430
1029900.0,3680
435000.0,1410
601000.0,1330
460500.0,1490
720000.0,2020
851000.0,3130
550000.0,2670
700000.0,1980
323000.0,2100
345500.0,1350
378000.0,2140
650000.0,2208
385000.0,1010
210000.0,1520
630000.0,2740
335000.0,1570
196500.0,1320
582800.0,2550
440000.0,1560
752500.0,2360
532500.0,1330
265000.0,1070
397500.0,1510
524250.0,1710
765000.0,2790
648000.0,2620
469500.0,2970
237500.0,1050
216000.0,1280
427200.0,1030
280000.0,1900
718000.0,3070
420000.0,1760
535000.0,1360
283000.0,2130
260000.0,1480
399000.0,1500
484950.0,1670
640000.0,2060
585000.0,2160
645000.0,2780
253000.0,1490
291000.0,1860
199950.0,1590
189950.0,1030
289000.0,1850
700000.0,1830