Annee;Prix;Surface
2007;271868;80
2007;273208;80
2007;272807;77
2007;279039;80
2008;267853;77
2008;273460;77
2008;282671;80
2008;278554;78
2009;270093;80
2009;281083;81
2009;274211;81
2009;282966;81
2010;292928;81
2010;290274;82
2010;297791;82
2010;305044;84
2011;295625;80
2011;309664;82
2011;297569;80
2011;324451;82
2012;308609;79
2012;311062;79
2012;322642;84
2012;325181;80
2013;318210;81
2013;335129;81
2013;340204;83
2013;327638;79
2014;336822;81
2014;346447;82
2014;345799;81
2014;352109;81
2015;343606;81
2015;360042;83
2015;362854;81
2015;357481;81
2016;383502;83
2016;371437;81
2016;394313;83
2016;385331;80
2017;381512;80
2017;418681;83
2017;402827;82
2017;419936;81
2018;417255;80
2018;440359;82
2018;450486;83
2018;459892;81
2019;460756;84
2019;485701;85
2019;494918;83
2019;520515;83
2020;538460;84
2020;538911;82
2020;561482;81
2020;589167;84
2021;598504;81
2021;629356;81
2021;648413;82
2021;656858;80
2022;676480;81
2022;669219;79
2022;674739;79
2022;672743;80
2023;666292;82
2023;660968;79
2023;610212;79
2023;631615;80